time	V(V_Tout,Vcm)	V(V_tin,Vcm)
1.869676259690956e-03	1.982245e-01	8.065021e-02
1.869802536499114e-03	1.997679e-01	7.693891e-02
1.869927586921368e-03	2.012847e-01	7.489385e-02
1.870060129276690e-03	2.027959e-01	7.441434e-02
1.870193359088478e-03	2.041106e-01	7.476482e-02
1.870316237931488e-03	2.051956e-01	7.534631e-02
1.870450801078159e-03	2.063501e-01	7.617910e-02
1.870620810784541e-03	2.076621e-01	7.720855e-02
1.870809783021861e-03	2.089877e-01	7.811587e-02
1.870994282132738e-03	2.103247e-01	7.922196e-02
1.871081220125418e-03	2.109853e-01	8.078067e-02
1.871141675084290e-03	2.114232e-01	8.316872e-02
1.871196188107215e-03	2.118456e-01	8.649476e-02
1.871267829746034e-03	2.124048e-01	9.202850e-02
1.871345541334761e-03	2.129955e-01	9.903549e-02
1.871430021660349e-03	2.137066e-01	1.075323e-01
1.871567400797975e-03	2.148769e-01	1.215635e-01
1.871720113016032e-03	2.162427e-01	1.358132e-01
1.871817167049818e-03	2.173833e-01	1.431023e-01
1.871910857820892e-03	2.187350e-01	1.474742e-01
1.872020442809064e-03	2.206568e-01	1.492070e-01
1.872088731529700e-03	2.218751e-01	1.476123e-01
1.872180682960547e-03	2.230015e-01	1.408616e-01
1.872364585822239e-03	2.268755e-01	1.226294e-01
1.872498972346503e-03	2.310532e-01	1.078542e-01
1.872612508697952e-03	2.343591e-01	9.458278e-02
1.872726933509919e-03	2.375031e-01	8.277501e-02
1.872867495332295e-03	2.411881e-01	7.281949e-02
1.873011245983164e-03	2.446458e-01	6.937943e-02
1.873151346562062e-03	2.474797e-01	7.263049e-02
1.873287321937173e-03	2.495432e-01	8.007770e-02
1.873383117582869e-03	2.510496e-01	8.746699e-02
1.873492996138947e-03	2.526399e-01	9.701153e-02
1.873620127032860e-03	2.537936e-01	1.074004e-01
1.873751483237862e-03	2.544550e-01	1.162708e-01
1.873875426736027e-03	2.552674e-01	1.223666e-01
1.873973234821360e-03	2.561989e-01	1.249845e-01
1.874071529650594e-03	2.573230e-01	1.260856e-01
1.874168803099926e-03	2.585716e-01	1.271806e-01
1.874298876807391e-03	2.604683e-01	1.294855e-01
1.874434210297732e-03	2.627250e-01	1.325436e-01
1.874582824181714e-03	2.652998e-01	1.359702e-01
1.874740512454430e-03	2.680394e-01	1.387547e-01
1.874981869759898e-03	2.725789e-01	1.414799e-01
1.875254280621436e-03	2.790259e-01	1.451936e-01
1.875672383789415e-03	2.899701e-01	1.535842e-01
1.875847037140035e-03	2.946482e-01	1.559879e-01
1.876042020627700e-03	3.001433e-01	1.549940e-01
1.876157700752584e-03	3.033887e-01	1.490679e-01
1.876281680982188e-03	3.069481e-01	1.363844e-01
1.876393966452554e-03	3.101485e-01	1.212156e-01
1.876539370878178e-03	3.142662e-01	9.964034e-02
1.876681109769361e-03	3.181685e-01	8.062381e-02
1.876873017238527e-03	3.226186e-01	6.309257e-02
1.877051060498728e-03	3.255254e-01	5.786397e-02
1.877149522694256e-03	3.272976e-01	6.228784e-02
1.877242422199008e-03	3.287947e-01	7.128441e-02
1.877337128762941e-03	3.299046e-01	8.306180e-02
1.877448847999638e-03	3.307378e-01	9.879649e-02
1.877579561114817e-03	3.297388e-01	1.162164e-01
1.877688071727121e-03	3.280969e-01	1.290082e-01
1.877797062069902e-03	3.273140e-01	1.404486e-01
1.877879451605684e-03	3.271855e-01	1.468974e-01
1.877969623791550e-03	3.272726e-01	1.507523e-01
1.878051039104589e-03	3.274060e-01	1.518307e-01
1.878178384643608e-03	3.279330e-01	1.521340e-01
1.878321361717844e-03	3.294165e-01	1.529625e-01
1.878428354198720e-03	3.306119e-01	1.534163e-01
1.878554045828193e-03	3.320855e-01	1.537404e-01
1.878683446731980e-03	3.339180e-01	1.540776e-01
1.878942248539553e-03	3.380270e-01	1.542820e-01
1.879289278803307e-03	3.439523e-01	1.533098e-01
1.879661451019092e-03	3.519671e-01	1.525045e-01
1.879920780331190e-03	3.577606e-01	1.521058e-01
1.880073029625682e-03	3.610840e-01	1.521876e-01
1.880349572594301e-03	3.670287e-01	1.530792e-01
1.880766454909066e-03	3.757271e-01	1.548242e-01
1.881002860389952e-03	3.804922e-01	1.551644e-01
1.881096854578255e-03	3.823462e-01	1.526973e-01
1.881140589807095e-03	3.831579e-01	1.498755e-01
1.881209091615639e-03	3.842622e-01	1.435169e-01
1.881322034306377e-03	3.861450e-01	1.303114e-01
1.881425748298869e-03	3.877579e-01	1.161192e-01
1.881589027865899e-03	3.903359e-01	9.312232e-02
1.881745738188854e-03	3.932500e-01	7.405506e-02
1.881847589734502e-03	3.944161e-01	6.427940e-02
1.881924120059150e-03	3.949478e-01	5.976924e-02
1.882000094323796e-03	3.955646e-01	5.864678e-02
1.882114604962523e-03	3.960220e-01	6.049409e-02
1.882228144759691e-03	3.956280e-01	6.438185e-02
1.882381906568575e-03	3.930423e-01	7.068621e-02
1.882562098422498e-03	3.897019e-01	7.975569e-02
1.882708371062909e-03	3.872526e-01	8.740345e-02
1.882843818230301e-03	3.846182e-01	9.262651e-02
1.882977914969000e-03	3.818655e-01	9.524523e-02
1.883117356921698e-03	3.793642e-01	9.631126e-02
1.883199151752231e-03	3.779674e-01	9.658211e-02
1.883397809872538e-03	3.743637e-01	9.678069e-02
1.883670481333974e-03	3.697459e-01	9.699896e-02
1.883843247840722e-03	3.669930e-01	9.711470e-02
1.884055395502357e-03	3.637009e-01	9.664157e-02
1.884195945583462e-03	3.615877e-01	9.511659e-02
1.884316373859649e-03	3.598699e-01	9.263888e-02
1.884440493119704e-03	3.581916e-01	8.941659e-02
1.884566316986829e-03	3.565444e-01	8.598760e-02
1.884707725508320e-03	3.547069e-01	8.252944e-02
1.884853875260929e-03	3.527492e-01	7.999475e-02
1.884992122251196e-03	3.507976e-01	7.874121e-02
1.885279673402992e-03	3.460441e-01	7.567017e-02
1.885580859752975e-03	3.409013e-01	6.967635e-02
1.885743159890219e-03	3.381130e-01	6.698439e-02
1.885937095855822e-03	3.346267e-01	6.542648e-02
1.886119986747008e-03	3.311308e-01	6.634530e-02
1.886317083800024e-03	3.269954e-01	6.964862e-02
1.886468135112905e-03	3.236584e-01	7.318790e-02
1.886625676264242e-03	3.202561e-01	7.718898e-02
1.886770312703598e-03	3.172080e-01	8.024481e-02
1.886936869822682e-03	3.138763e-01	8.238332e-02
1.887128370895794e-03	3.105900e-01	8.396083e-02
1.887272525491913e-03	3.084803e-01	8.543663e-02
1.887458849732475e-03	3.058767e-01	8.778019e-02
1.887638842111004e-03	3.035170e-01	8.994551e-02
1.887873377746139e-03	3.007245e-01	9.161213e-02
1.888146267221830e-03	2.980188e-01	9.089555e-02
1.888407222747592e-03	2.962331e-01	8.765896e-02
1.888577197525327e-03	2.953673e-01	8.463231e-02
1.888694395275947e-03	2.947532e-01	8.250639e-02
1.888808905184476e-03	2.941430e-01	8.088967e-02
1.888932661540910e-03	2.934605e-01	7.990195e-02
1.889056848195752e-03	2.926791e-01	7.936148e-02
1.889155230027636e-03	2.919932e-01	7.868722e-02
1.889256609912468e-03	2.912791e-01	7.748151e-02
1.889364334296593e-03	2.905023e-01	7.577223e-02
1.889499231903945e-03	2.895303e-01	7.338224e-02
1.889641384074178e-03	2.884988e-01	7.103111e-02
1.889835020839141e-03	2.870321e-01	6.885011e-02
1.890038938049668e-03	2.852491e-01	6.808715e-02
1.890238755294750e-03	2.831262e-01	6.836966e-02
1.890392475765561e-03	2.813504e-01	6.894113e-02
1.890575674658698e-03	2.792487e-01	6.982602e-02
1.890729740862397e-03	2.774738e-01	7.053262e-02
1.890898398238425e-03	2.755663e-01	7.124755e-02
1.891040103767342e-03	2.740389e-01	7.260226e-02
1.891116208806719e-03	2.732745e-01	7.496166e-02
1.891197402824858e-03	2.724642e-01	7.966651e-02
1.891273117465553e-03	2.717562e-01	8.569948e-02
1.891375908860284e-03	2.708319e-01	9.559099e-02
1.891497657941493e-03	2.696871e-01	1.081482e-01
1.891672307585722e-03	2.681033e-01	1.248743e-01
1.891854550943933e-03	2.673944e-01	1.377827e-01
1.892023410312936e-03	2.678511e-01	1.434705e-01
1.892163316097394e-03	2.688395e-01	1.440616e-01
1.892306578986109e-03	2.704142e-01	1.430888e-01
1.892421667759730e-03	2.719945e-01	1.419579e-01
