C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,828
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,853
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,878
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,903
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,928
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,953
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,978
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1003
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1028
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1053
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1078
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1103
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1128
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1153
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1178
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1203
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1228
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1253
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1278
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1303
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1328
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1353
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1378
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1403
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1428
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1453
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1478
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1503
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1528
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1553
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1578
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1603
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1628
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1653
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1678
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1703
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1728
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1753
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1778
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1803
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1828
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1853
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1878
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1903
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1928
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1953
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,1978
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2003
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2028
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2053
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2078
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2103
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2128
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2153
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2178
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2203
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2228
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2253
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2278
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2303
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2328
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2353
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2378
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2403
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2428
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2453
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2478
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2503
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2528
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2553
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2578
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2603
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2628
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2653
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2678
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2703
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2728
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2753
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2778
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2803
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2828
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2853
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2878
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2903
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2928
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2953
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,2978
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3003
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3028
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3053
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3078
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3103
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3128
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3153
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3178
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3203
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3228
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3253
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3278
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3303
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3328
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3353
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3378
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3403
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3428
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3453
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3478
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3503
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3528
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3553
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3578
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3603
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3628
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3653
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3678
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3703
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3728
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3753
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3778
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3803
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3828
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3853
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3878
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3903
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3928
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3953
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,3978
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,4003
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,4028
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,4053
        ******************************************

C,Gamma,PCA Variancia,random_num
        0.0001,0.0001,0.9500000000000002,4078
        ******************************************

